,mass,meta_rate
0,1370.0,345000.0
1,1250.0,417000.0
2,7.4,3100.0
3,6.95,2898.0
4,8.9,3528.0
5,9.6,3881.0
6,9.4,3830.0
7,9.3,4284.0
8,9.35,3906.0
9,8.15,2386.0
10,6.7,2374.0
11,32.75,17430.0
12,45.5,20049.0
13,38.5,22952.0
14,40.5,26454.0
15,39.0,16174.0
16,32.25,21595.0
17,37.25,18956.0
18,37.25,17830.0
19,28.25,12521.0
20,0.795,1036.8
21,1.252,1347.8
22,1.09,1728.0
23,1.08,1555.2
24,1.08,1373.8
25,1.08,803.52
26,1.002,794.88
27,1.05,1287.4
28,1.2,1097.3
29,0.0133,19.442
30,0.0125,19.892
31,0.0129,20.687
32,0.0113,24.952
33,0.0117,24.32
34,0.0126,23.548
35,0.0137,29.238000000000003
36,0.0125,26.368
37,0.0132,12.294
38,0.0133,19.278
39,0.0134,17.191
40,0.0125,24.209
41,0.013999999999999999,20.12
42,0.0128,19.659
43,0.0143,26.461
44,0.0133,26.333
45,0.0366,113.0
46,0.0393,115.6
47,0.0345,111.2
48,0.0354,98.2
49,0.0304,78.5
50,0.0356,84.0
51,0.0368,113.9
52,0.0328,100.1
53,0.0349,110.2
54,0.0349,64.0
55,0.0408,115.6
56,0.0069,8.599999999999998
57,0.0101,27.0
58,0.0068,18.1
59,0.0072,13.5
60,0.0089,23.9
61,0.0144,50.1
62,0.0088,31.9
63,0.0111,21.1
64,0.0082,9.8
65,0.011,23.0
66,0.0082,16.1
67,0.008,10.4
68,0.008699999999999998,22.7
69,0.008,28.4
70,0.006999999999999999,48.4
71,0.0074,16.7
72,0.0071,32.6
73,0.0098,55.05
74,0.01,16.3
75,0.0109,20.6
76,0.0062,55.4
77,0.0144,52.238
78,0.0189,56.648999999999994
79,0.096,180.3
80,0.01485,43.7
81,0.01305,99.8
82,0.0143,52.6
83,0.0143,81.59999999999998
84,0.0139,112.4
85,0.013999999999999999,69.0
86,0.03275,83.5
87,0.03455,75.4
88,0.03045,59.3
89,0.0335,70.8
90,0.0336,92.5
91,0.03865,82.9
92,0.653,1150.0
93,0.6679999999999999,523.0
94,0.63,479.0
95,0.634,428.0
96,0.655,420.0
97,0.585,556.0
98,0.585,473.0
99,0.565,543.0
100,0.537,461.0
101,0.537,314.0
102,0.49700000000000005,328.0
103,0.634,857.0
104,0.517,450.0
105,0.448,581.0
106,0.4320000000000001,554.0
107,0.695,638.0
108,0.643,712.0
109,0.605,700.0
110,0.6,700.0
111,0.579,691.0
112,0.634,606.0
113,0.595,605.0
114,0.018000000000000002,113.0
115,0.01813,103.0
116,0.0175,110.3
117,0.01863,100.4
118,0.017130000000000003,94.8
119,0.01875,111.6
120,0.017130000000000003,97.3
121,0.01975,120.0
122,0.01963,107.2
123,0.018000000000000002,85.09999999999998
124,0.01725,89.29999999999998
125,0.01738,87.79999999999998
126,0.0215,99.7
127,0.01938,57.1
128,0.01988,119.7
129,0.01825,102.4
130,0.0195,109.7
131,0.01988,118.5
132,0.0165,109.4
133,0.01825,96.9
134,0.01863,98.4
135,0.01738,119.4
136,0.0191,119.2
137,0.02164,95.3
138,0.01825,123.4
139,0.01888,136.3
140,0.02013,120.9
141,0.019,120.0
142,0.02063,102.4
143,0.01725,98.5
144,0.01675,96.7
145,0.0185,83.9
146,0.02,101.8
147,0.0175,64.2
148,0.02113,110.1
149,0.019,97.4
150,0.016630000000000002,58.3
151,0.01875,65.9
152,0.01725,108.7
153,0.01863,120.9
154,0.0195,122.5
155,0.01888,86.59999999999998
156,0.01775,89.0
157,0.01925,56.1
158,0.018000000000000002,94.9
159,0.01925,121.6
160,0.963,1542.0
161,0.972,1979.0
162,0.927,1580.0
163,0.898,2054.0
164,0.0125,45.97
165,0.013,54.03
166,0.0124,53.735
167,0.0131,49.66
168,0.0113,48.25
169,0.0118,44.77
170,0.0116,49.47
171,0.0114,51.53
172,0.0115,41.22
173,0.547,309.5
174,0.408,198.8
175,0.522,211.7
176,0.428,262.2
177,0.52,362.5
178,131.3,50369.0
179,84.4,51774.0
180,109.4,51609.0
181,106.7,50796.0
182,123.85,54038.0
183,105.5,47034.0
184,119.8,57032.0
185,109.3,54300.0
186,109.4,47544.0
187,118.9,56193.0
188,154.8,62192.0
189,93.6,52970.0
190,4.675,3317.8
191,3.05,1874.9
192,3.55,1805.8
193,3.55,2738.9
194,31.925,6868.2
195,35.85,3376.2
196,39.5,3003.3
197,30.475,13218.0
198,41.125,14248.0
199,41.44,15933.0
200,39.275,16118.0
201,1.08,1018.4
202,1.104,772.14
203,1.0785,646.02
204,29.6,23196.0
205,45.975,22960.0
206,33.175,18717.0
207,24.225,20993.0
208,32.3,27684.0
209,40.275,19069.0
210,40.4,28448.0
211,39.775,28489.0
212,29.125,19880.0
213,35.15,34955.0
214,36.325,35120.0
215,32.1,22798.0
216,30.6,23028.0
217,29.837,26338.0
218,40.0,41880.0
219,29.475,16859.0
220,26.275,17787.0
221,33.3,30152.0
222,27.55,20066.0
223,23.825,16468.0
224,29.425,26288.0
225,5.21,1817.8
226,4.95,1976.5
227,4.17,1447.8
228,3.9,1357.6
229,3.97,1345.8
230,4.46,1439.7
231,0.787,1502.0
232,0.91,2246.0
233,0.77,1530.0
234,0.622,1213.0
235,0.5489999999999999,948.0
236,3.8875,4222.3
237,4.725,8079.899999999999
238,4.075,3814.2
239,3.8,5911.1
240,3.95,1694.3
